schno,school,span,group,domain,construct,favorability,count
466,Independence HS,High,White,Social-Emotional Learning,Self-Management,80,34
466,Independence HS,High,White,Social-Emotional Learning,Social Awareness,76,34
476,Chinese Ed Ctr ES,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,83,
476,Chinese Ed Ctr ES,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",92,
476,Chinese Ed Ctr ES,Elementary,School,Culture/Climate,Safety,63,
476,Chinese Ed Ctr ES,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),97,
476,Chinese Ed Ctr ES,Elementary,School,Social-Emotional Learning,Growth Mindset,42,
476,Chinese Ed Ctr ES,Elementary,School,Social-Emotional Learning,Self-Efficacy,62,
476,Chinese Ed Ctr ES,Elementary,School,Social-Emotional Learning,Self-Management,67,
476,Chinese Ed Ctr ES,Elementary,School,Social-Emotional Learning,Social Awareness,64,
478,Clarendon ES,Elementary,Asian,Culture/Climate,Climate of Support for Academic Learning,90,50
478,Clarendon ES,Elementary,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",82,50
478,Clarendon ES,Elementary,Asian,Culture/Climate,Safety,68,50
478,Clarendon ES,Elementary,Asian,Culture/Climate,Sense of Belonging (School Connectedness),90,50
478,Clarendon ES,Elementary,Asian,Social-Emotional Learning,Growth Mindset,74,50
478,Clarendon ES,Elementary,Asian,Social-Emotional Learning,Self-Efficacy,66,50
478,Clarendon ES,Elementary,Asian,Social-Emotional Learning,Self-Management,82,50
478,Clarendon ES,Elementary,Asian,Social-Emotional Learning,Social Awareness,74,50
478,Clarendon ES,Elementary,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,89,29
478,Clarendon ES,Elementary,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",86,29
478,Clarendon ES,Elementary,Hispanic/Latino,Culture/Climate,Safety,71,29
478,Clarendon ES,Elementary,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),87,29
478,Clarendon ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,56,29
478,Clarendon ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,59,29
478,Clarendon ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Management,80,29
478,Clarendon ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Social Awareness,72,29
478,Clarendon ES,Elementary,Low SES,Culture/Climate,Climate of Support for Academic Learning,89,32
478,Clarendon ES,Elementary,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",88,32
478,Clarendon ES,Elementary,Low SES,Culture/Climate,Safety,72,32
478,Clarendon ES,Elementary,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),88,32
478,Clarendon ES,Elementary,Low SES,Social-Emotional Learning,Growth Mindset,51,32
478,Clarendon ES,Elementary,Low SES,Social-Emotional Learning,Self-Efficacy,47,32
478,Clarendon ES,Elementary,Low SES,Social-Emotional Learning,Self-Management,70,32
478,Clarendon ES,Elementary,Low SES,Social-Emotional Learning,Social Awareness,67,32
478,Clarendon ES,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,90,
478,Clarendon ES,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",86,
478,Clarendon ES,Elementary,School,Culture/Climate,Safety,72,
478,Clarendon ES,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),89,
478,Clarendon ES,Elementary,School,Social-Emotional Learning,Growth Mindset,70,
478,Clarendon ES,Elementary,School,Social-Emotional Learning,Self-Efficacy,66,
478,Clarendon ES,Elementary,School,Social-Emotional Learning,Self-Management,80,
478,Clarendon ES,Elementary,School,Social-Emotional Learning,Social Awareness,75,
478,Clarendon ES,Elementary,SPED,Culture/Climate,Climate of Support for Academic Learning,84,22
478,Clarendon ES,Elementary,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",83,22
478,Clarendon ES,Elementary,SPED,Culture/Climate,Safety,68,22
478,Clarendon ES,Elementary,SPED,Culture/Climate,Sense of Belonging (School Connectedness),80,22
478,Clarendon ES,Elementary,SPED,Social-Emotional Learning,Growth Mindset,52,22
478,Clarendon ES,Elementary,SPED,Social-Emotional Learning,Self-Efficacy,60,22
478,Clarendon ES,Elementary,SPED,Social-Emotional Learning,Self-Management,72,22
478,Clarendon ES,Elementary,SPED,Social-Emotional Learning,Social Awareness,70,22
478,Clarendon ES,Elementary,White,Culture/Climate,Climate of Support for Academic Learning,91,62
478,Clarendon ES,Elementary,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",90,62
478,Clarendon ES,Elementary,White,Culture/Climate,Safety,75,62
478,Clarendon ES,Elementary,White,Culture/Climate,Sense of Belonging (School Connectedness),91,62
478,Clarendon ES,Elementary,White,Social-Emotional Learning,Growth Mindset,75,62
478,Clarendon ES,Elementary,White,Social-Emotional Learning,Self-Efficacy,73,62
478,Clarendon ES,Elementary,White,Social-Emotional Learning,Self-Management,81,62
478,Clarendon ES,Elementary,White,Social-Emotional Learning,Social Awareness,76,62
479,Lilienthal Alt K8,Elementary,Asian,Culture/Climate,Climate of Support for Academic Learning,84,41
479,Lilienthal Alt K8,Elementary,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",84,41
479,Lilienthal Alt K8,Elementary,Asian,Culture/Climate,Safety,72,41
479,Lilienthal Alt K8,Elementary,Asian,Culture/Climate,Sense of Belonging (School Connectedness),83,41
479,Lilienthal Alt K8,Elementary,Asian,Social-Emotional Learning,Growth Mindset,64,41
479,Lilienthal Alt K8,Elementary,Asian,Social-Emotional Learning,Self-Efficacy,58,41
479,Lilienthal Alt K8,Elementary,Asian,Social-Emotional Learning,Self-Management,80,41
479,Lilienthal Alt K8,Elementary,Asian,Social-Emotional Learning,Social Awareness,68,41
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,79,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",81,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Culture/Climate,Safety,64,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),72,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,59,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,50,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Management,73,22
479,Lilienthal Alt K8,Elementary,Hispanic/Latino,Social-Emotional Learning,Social Awareness,62,22
479,Lilienthal Alt K8,Elementary,Low SES,Culture/Climate,Climate of Support for Academic Learning,80,27
479,Lilienthal Alt K8,Elementary,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",79,27
479,Lilienthal Alt K8,Elementary,Low SES,Culture/Climate,Safety,65,27
479,Lilienthal Alt K8,Elementary,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),70,27
479,Lilienthal Alt K8,Elementary,Low SES,Social-Emotional Learning,Growth Mindset,52,27
479,Lilienthal Alt K8,Elementary,Low SES,Social-Emotional Learning,Self-Efficacy,48,27
479,Lilienthal Alt K8,Elementary,Low SES,Social-Emotional Learning,Self-Management,77,27
479,Lilienthal Alt K8,Elementary,Low SES,Social-Emotional Learning,Social Awareness,62,27
479,Lilienthal Alt K8,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,85,
479,Lilienthal Alt K8,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",83,
479,Lilienthal Alt K8,Elementary,School,Culture/Climate,Safety,71,
479,Lilienthal Alt K8,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),80,
479,Lilienthal Alt K8,Elementary,School,Social-Emotional Learning,Growth Mindset,69,
479,Lilienthal Alt K8,Elementary,School,Social-Emotional Learning,Self-Efficacy,64,
479,Lilienthal Alt K8,Elementary,School,Social-Emotional Learning,Self-Management,81,
479,Lilienthal Alt K8,Elementary,School,Social-Emotional Learning,Social Awareness,68,
479,Lilienthal Alt K8,Elementary,SPED,Culture/Climate,Climate of Support for Academic Learning,87,23
479,Lilienthal Alt K8,Elementary,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",86,23
479,Lilienthal Alt K8,Elementary,SPED,Culture/Climate,Safety,62,23
479,Lilienthal Alt K8,Elementary,SPED,Culture/Climate,Sense of Belonging (School Connectedness),77,23
479,Lilienthal Alt K8,Elementary,SPED,Social-Emotional Learning,Growth Mindset,54,23
479,Lilienthal Alt K8,Elementary,SPED,Social-Emotional Learning,Self-Efficacy,54,23
479,Lilienthal Alt K8,Elementary,SPED,Social-Emotional Learning,Self-Management,74,23
479,Lilienthal Alt K8,Elementary,SPED,Social-Emotional Learning,Social Awareness,61,23
479,Lilienthal Alt K8,Elementary,White,Culture/Climate,Climate of Support for Academic Learning,87,45
479,Lilienthal Alt K8,Elementary,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",85,45
479,Lilienthal Alt K8,Elementary,White,Culture/Climate,Safety,69,45
479,Lilienthal Alt K8,Elementary,White,Culture/Climate,Sense of Belonging (School Connectedness),81,45
479,Lilienthal Alt K8,Elementary,White,Social-Emotional Learning,Growth Mindset,74,45
479,Lilienthal Alt K8,Elementary,White,Social-Emotional Learning,Self-Efficacy,71,45
479,Lilienthal Alt K8,Elementary,White,Social-Emotional Learning,Self-Management,85,45
479,Lilienthal Alt K8,Elementary,White,Social-Emotional Learning,Social Awareness,72,45
479,Lilienthal Alt K8,Middle,Asian,Culture/Climate,Climate of Support for Academic Learning,72,70
479,Lilienthal Alt K8,Middle,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",67,70
479,Lilienthal Alt K8,Middle,Asian,Culture/Climate,Safety,66,70
479,Lilienthal Alt K8,Middle,Asian,Culture/Climate,Sense of Belonging (School Connectedness),70,70
479,Lilienthal Alt K8,Middle,Asian,Social-Emotional Learning,Growth Mindset,82,70
479,Lilienthal Alt K8,Middle,Asian,Social-Emotional Learning,Self-Efficacy,67,70
479,Lilienthal Alt K8,Middle,Asian,Social-Emotional Learning,Self-Management,86,70
479,Lilienthal Alt K8,Middle,Asian,Social-Emotional Learning,Social Awareness,74,70
479,Lilienthal Alt K8,Middle,Low SES,Culture/Climate,Climate of Support for Academic Learning,72,40
479,Lilienthal Alt K8,Middle,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",63,40
479,Lilienthal Alt K8,Middle,Low SES,Culture/Climate,Safety,58,40
479,Lilienthal Alt K8,Middle,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),61,40
479,Lilienthal Alt K8,Middle,Low SES,Social-Emotional Learning,Growth Mindset,72,40
479,Lilienthal Alt K8,Middle,Low SES,Social-Emotional Learning,Self-Efficacy,49,40
479,Lilienthal Alt K8,Middle,Low SES,Social-Emotional Learning,Self-Management,74,40
479,Lilienthal Alt K8,Middle,Low SES,Social-Emotional Learning,Social Awareness,69,40
479,Lilienthal Alt K8,Middle,School,Culture/Climate,Climate of Support for Academic Learning,72,
479,Lilienthal Alt K8,Middle,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",62,
479,Lilienthal Alt K8,Middle,School,Culture/Climate,Safety,62,
479,Lilienthal Alt K8,Middle,School,Culture/Climate,Sense of Belonging (School Connectedness),67,
479,Lilienthal Alt K8,Middle,School,Social-Emotional Learning,Growth Mindset,80,
479,Lilienthal Alt K8,Middle,School,Social-Emotional Learning,Self-Efficacy,66,
479,Lilienthal Alt K8,Middle,School,Social-Emotional Learning,Self-Management,81,
479,Lilienthal Alt K8,Middle,School,Social-Emotional Learning,Social Awareness,71,
479,Lilienthal Alt K8,Middle,SPED,Culture/Climate,Climate of Support for Academic Learning,74,26
479,Lilienthal Alt K8,Middle,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",58,26
479,Lilienthal Alt K8,Middle,SPED,Culture/Climate,Safety,70,26
479,Lilienthal Alt K8,Middle,SPED,Culture/Climate,Sense of Belonging (School Connectedness),65,26
479,Lilienthal Alt K8,Middle,SPED,Social-Emotional Learning,Growth Mindset,78,26
479,Lilienthal Alt K8,Middle,SPED,Social-Emotional Learning,Self-Efficacy,60,26
479,Lilienthal Alt K8,Middle,SPED,Social-Emotional Learning,Self-Management,72,26
479,Lilienthal Alt K8,Middle,SPED,Social-Emotional Learning,Social Awareness,50,26
479,Lilienthal Alt K8,Middle,White,Culture/Climate,Climate of Support for Academic Learning,73,52
479,Lilienthal Alt K8,Middle,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",55,52
479,Lilienthal Alt K8,Middle,White,Culture/Climate,Safety,62,52
479,Lilienthal Alt K8,Middle,White,Culture/Climate,Sense of Belonging (School Connectedness),66,52
479,Lilienthal Alt K8,Middle,White,Social-Emotional Learning,Growth Mindset,86,52
479,Lilienthal Alt K8,Middle,White,Social-Emotional Learning,Self-Efficacy,71,52
479,Lilienthal Alt K8,Middle,White,Social-Emotional Learning,Self-Management,80,52
479,Lilienthal Alt K8,Middle,White,Social-Emotional Learning,Social Awareness,69,52
481,Cleveland ES,Elementary,ELL,Culture/Climate,Climate of Support for Academic Learning,77,57
481,Cleveland ES,Elementary,ELL,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",80,57
481,Cleveland ES,Elementary,ELL,Culture/Climate,Safety,46,57
481,Cleveland ES,Elementary,ELL,Culture/Climate,Sense of Belonging (School Connectedness),79,57
481,Cleveland ES,Elementary,ELL,Social-Emotional Learning,Growth Mindset,37,57
481,Cleveland ES,Elementary,ELL,Social-Emotional Learning,Self-Efficacy,47,57
481,Cleveland ES,Elementary,ELL,Social-Emotional Learning,Self-Management,61,57
481,Cleveland ES,Elementary,ELL,Social-Emotional Learning,Social Awareness,62,57
481,Cleveland ES,Elementary,Hispanic/Latino,Culture/Climate,Climate of Support for Academic Learning,82,93
481,Cleveland ES,Elementary,Hispanic/Latino,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",80,93
481,Cleveland ES,Elementary,Hispanic/Latino,Culture/Climate,Safety,56,93
481,Cleveland ES,Elementary,Hispanic/Latino,Culture/Climate,Sense of Belonging (School Connectedness),79,93
481,Cleveland ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Growth Mindset,44,93
481,Cleveland ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Efficacy,56,93
481,Cleveland ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Self-Management,67,93
481,Cleveland ES,Elementary,Hispanic/Latino,Social-Emotional Learning,Social Awareness,68,93
481,Cleveland ES,Elementary,Low SES,Culture/Climate,Climate of Support for Academic Learning,82,69
481,Cleveland ES,Elementary,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",76,69
481,Cleveland ES,Elementary,Low SES,Culture/Climate,Safety,54,69
481,Cleveland ES,Elementary,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),81,69
481,Cleveland ES,Elementary,Low SES,Social-Emotional Learning,Growth Mindset,41,69
481,Cleveland ES,Elementary,Low SES,Social-Emotional Learning,Self-Efficacy,55,69
481,Cleveland ES,Elementary,Low SES,Social-Emotional Learning,Self-Management,67,69
481,Cleveland ES,Elementary,Low SES,Social-Emotional Learning,Social Awareness,68,69
481,Cleveland ES,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,83,
481,Cleveland ES,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",78,
481,Cleveland ES,Elementary,School,Culture/Climate,Safety,56,
481,Cleveland ES,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),80,
481,Cleveland ES,Elementary,School,Social-Emotional Learning,Growth Mindset,45,
481,Cleveland ES,Elementary,School,Social-Emotional Learning,Self-Efficacy,56,
481,Cleveland ES,Elementary,School,Social-Emotional Learning,Self-Management,67,
481,Cleveland ES,Elementary,School,Social-Emotional Learning,Social Awareness,67,
483,Civic Ctr HS CCS,High,School,Culture/Climate,Climate of Support for Academic Learning,83,
483,Civic Ctr HS CCS,High,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",78,
483,Civic Ctr HS CCS,High,School,Culture/Climate,Safety,81,
483,Civic Ctr HS CCS,High,School,Culture/Climate,Sense of Belonging (School Connectedness),75,
483,Civic Ctr HS CCS,High,School,Social-Emotional Learning,Growth Mindset,81,
483,Civic Ctr HS CCS,High,School,Social-Emotional Learning,Self-Efficacy,56,
483,Civic Ctr HS CCS,High,School,Social-Emotional Learning,Self-Management,58,
483,Civic Ctr HS CCS,High,School,Social-Emotional Learning,Social Awareness,44,
485,Yu (A.F.) Alt K8,Elementary,Asian,Culture/Climate,Climate of Support for Academic Learning,82,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",75,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Culture/Climate,Safety,59,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Culture/Climate,Sense of Belonging (School Connectedness),73,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Social-Emotional Learning,Growth Mindset,62,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Social-Emotional Learning,Self-Efficacy,59,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Social-Emotional Learning,Self-Management,77,85
485,Yu (A.F.) Alt K8,Elementary,Asian,Social-Emotional Learning,Social Awareness,64,85
485,Yu (A.F.) Alt K8,Elementary,Low SES,Culture/Climate,Climate of Support for Academic Learning,81,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",68,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Culture/Climate,Safety,54,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),69,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Social-Emotional Learning,Growth Mindset,56,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Social-Emotional Learning,Self-Efficacy,57,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Social-Emotional Learning,Self-Management,69,35
485,Yu (A.F.) Alt K8,Elementary,Low SES,Social-Emotional Learning,Social Awareness,65,35
485,Yu (A.F.) Alt K8,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,81,
485,Yu (A.F.) Alt K8,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",76,
485,Yu (A.F.) Alt K8,Elementary,School,Culture/Climate,Safety,60,
485,Yu (A.F.) Alt K8,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),76,
485,Yu (A.F.) Alt K8,Elementary,School,Social-Emotional Learning,Growth Mindset,63,
485,Yu (A.F.) Alt K8,Elementary,School,Social-Emotional Learning,Self-Efficacy,61,
485,Yu (A.F.) Alt K8,Elementary,School,Social-Emotional Learning,Self-Management,77,
485,Yu (A.F.) Alt K8,Elementary,School,Social-Emotional Learning,Social Awareness,67,
485,Yu (A.F.) Alt K8,Middle,Asian,Culture/Climate,Climate of Support for Academic Learning,73,135
485,Yu (A.F.) Alt K8,Middle,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",64,135
485,Yu (A.F.) Alt K8,Middle,Asian,Culture/Climate,Safety,58,135
485,Yu (A.F.) Alt K8,Middle,Asian,Culture/Climate,Sense of Belonging (School Connectedness),57,135
485,Yu (A.F.) Alt K8,Middle,Asian,Social-Emotional Learning,Growth Mindset,63,135
485,Yu (A.F.) Alt K8,Middle,Asian,Social-Emotional Learning,Self-Efficacy,56,135
485,Yu (A.F.) Alt K8,Middle,Asian,Social-Emotional Learning,Self-Management,80,135
485,Yu (A.F.) Alt K8,Middle,Asian,Social-Emotional Learning,Social Awareness,60,135
485,Yu (A.F.) Alt K8,Middle,Low SES,Culture/Climate,Climate of Support for Academic Learning,74,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",64,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Culture/Climate,Safety,56,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),55,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Social-Emotional Learning,Growth Mindset,60,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Social-Emotional Learning,Self-Efficacy,46,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Social-Emotional Learning,Self-Management,76,70
485,Yu (A.F.) Alt K8,Middle,Low SES,Social-Emotional Learning,Social Awareness,59,70
485,Yu (A.F.) Alt K8,Middle,School,Culture/Climate,Climate of Support for Academic Learning,72,
485,Yu (A.F.) Alt K8,Middle,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",65,
485,Yu (A.F.) Alt K8,Middle,School,Culture/Climate,Safety,60,
485,Yu (A.F.) Alt K8,Middle,School,Culture/Climate,Sense of Belonging (School Connectedness),59,
485,Yu (A.F.) Alt K8,Middle,School,Social-Emotional Learning,Growth Mindset,66,
485,Yu (A.F.) Alt K8,Middle,School,Social-Emotional Learning,Self-Efficacy,56,
485,Yu (A.F.) Alt K8,Middle,School,Social-Emotional Learning,Self-Management,78,
485,Yu (A.F.) Alt K8,Middle,School,Social-Emotional Learning,Social Awareness,60,
486,Home Based Ed CCS,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,100,
486,Home Based Ed CCS,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",88,
486,Home Based Ed CCS,Elementary,School,Culture/Climate,Safety,86,
486,Home Based Ed CCS,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),95,
486,Home Based Ed CCS,Elementary,School,Social-Emotional Learning,Growth Mindset,81,
486,Home Based Ed CCS,Elementary,School,Social-Emotional Learning,Self-Efficacy,69,
486,Home Based Ed CCS,Elementary,School,Social-Emotional Learning,Self-Management,92,
486,Home Based Ed CCS,Elementary,School,Social-Emotional Learning,Social Awareness,84,
486,Home Based Ed CCS,Middle,School,Culture/Climate,Climate of Support for Academic Learning,92,
486,Home Based Ed CCS,Middle,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",84,
486,Home Based Ed CCS,Middle,School,Culture/Climate,Safety,96,
486,Home Based Ed CCS,Middle,School,Culture/Climate,Sense of Belonging (School Connectedness),82,
486,Home Based Ed CCS,Middle,School,Social-Emotional Learning,Growth Mindset,83,
486,Home Based Ed CCS,Middle,School,Social-Emotional Learning,Self-Efficacy,79,
486,Home Based Ed CCS,Middle,School,Social-Emotional Learning,Self-Management,93,
486,Home Based Ed CCS,Middle,School,Social-Emotional Learning,Social Awareness,81,
488,Sloat ES,Elementary,Asian,Culture/Climate,Climate of Support for Academic Learning,82,59
488,Sloat ES,Elementary,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",74,59
488,Sloat ES,Elementary,Asian,Culture/Climate,Safety,61,59
488,Sloat ES,Elementary,Asian,Culture/Climate,Sense of Belonging (School Connectedness),77,59
488,Sloat ES,Elementary,Asian,Social-Emotional Learning,Growth Mindset,58,59
488,Sloat ES,Elementary,Asian,Social-Emotional Learning,Self-Efficacy,46,59
488,Sloat ES,Elementary,Asian,Social-Emotional Learning,Self-Management,72,59
488,Sloat ES,Elementary,Asian,Social-Emotional Learning,Social Awareness,61,59
488,Sloat ES,Elementary,ELL,Culture/Climate,Climate of Support for Academic Learning,76,25
488,Sloat ES,Elementary,ELL,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",69,25
488,Sloat ES,Elementary,ELL,Culture/Climate,Safety,56,25
488,Sloat ES,Elementary,ELL,Culture/Climate,Sense of Belonging (School Connectedness),69,25
488,Sloat ES,Elementary,ELL,Social-Emotional Learning,Growth Mindset,49,25
488,Sloat ES,Elementary,ELL,Social-Emotional Learning,Self-Efficacy,32,25
488,Sloat ES,Elementary,ELL,Social-Emotional Learning,Self-Management,56,25
488,Sloat ES,Elementary,ELL,Social-Emotional Learning,Social Awareness,47,25
488,Sloat ES,Elementary,Low SES,Culture/Climate,Climate of Support for Academic Learning,81,54
488,Sloat ES,Elementary,Low SES,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",74,54
488,Sloat ES,Elementary,Low SES,Culture/Climate,Safety,60,54
488,Sloat ES,Elementary,Low SES,Culture/Climate,Sense of Belonging (School Connectedness),77,54
488,Sloat ES,Elementary,Low SES,Social-Emotional Learning,Growth Mindset,60,54
488,Sloat ES,Elementary,Low SES,Social-Emotional Learning,Self-Efficacy,42,54
488,Sloat ES,Elementary,Low SES,Social-Emotional Learning,Self-Management,69,54
488,Sloat ES,Elementary,Low SES,Social-Emotional Learning,Social Awareness,60,54
488,Sloat ES,Elementary,School,Culture/Climate,Climate of Support for Academic Learning,85,
488,Sloat ES,Elementary,School,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",80,
488,Sloat ES,Elementary,School,Culture/Climate,Safety,65,
488,Sloat ES,Elementary,School,Culture/Climate,Sense of Belonging (School Connectedness),80,
488,Sloat ES,Elementary,School,Social-Emotional Learning,Growth Mindset,63,
488,Sloat ES,Elementary,School,Social-Emotional Learning,Self-Efficacy,58,
488,Sloat ES,Elementary,School,Social-Emotional Learning,Self-Management,77,
488,Sloat ES,Elementary,School,Social-Emotional Learning,Social Awareness,67,
488,Sloat ES,Elementary,SPED,Culture/Climate,Climate of Support for Academic Learning,77,23
488,Sloat ES,Elementary,SPED,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",79,23
488,Sloat ES,Elementary,SPED,Culture/Climate,Safety,56,23
488,Sloat ES,Elementary,SPED,Culture/Climate,Sense of Belonging (School Connectedness),74,23
488,Sloat ES,Elementary,SPED,Social-Emotional Learning,Growth Mindset,51,23
488,Sloat ES,Elementary,SPED,Social-Emotional Learning,Self-Efficacy,36,23
488,Sloat ES,Elementary,SPED,Social-Emotional Learning,Self-Management,63,23
488,Sloat ES,Elementary,SPED,Social-Emotional Learning,Social Awareness,52,23
488,Sloat ES,Elementary,White,Culture/Climate,Climate of Support for Academic Learning,87,37
488,Sloat ES,Elementary,White,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",87,37
488,Sloat ES,Elementary,White,Culture/Climate,Safety,69,37
488,Sloat ES,Elementary,White,Culture/Climate,Sense of Belonging (School Connectedness),83,37
488,Sloat ES,Elementary,White,Social-Emotional Learning,Growth Mindset,73,37
488,Sloat ES,Elementary,White,Social-Emotional Learning,Self-Efficacy,74,37
488,Sloat ES,Elementary,White,Social-Emotional Learning,Self-Management,86,37
488,Sloat ES,Elementary,White,Social-Emotional Learning,Social Awareness,77,37
490,Lau (Gordon J) ES,Elementary,Asian,Culture/Climate,Climate of Support for Academic Learning,77,182
490,Lau (Gordon J) ES,Elementary,Asian,Culture/Climate,"Knowledge and Fairness of Discipline, Rules and Norms",78,182
490,Lau (Gordon J) ES,Elementary,Asian,Culture/Climate,Safety,55,182
490,Lau (Gordon J) ES,Elementary,Asian,Culture/Climate,Sense of Belonging (School Connectedness),71,182
490,Lau (Gordon J) ES,Elementary,Asian,Social-Emotional Learning,Growth Mindset,48,182
490,Lau (Gordon J) ES,Elementary,Asian,Social-Emotional Learning,Self-Efficacy,38,182
490,Lau (Gordon J) ES,Elementary,Asian,Social-Emotional Learning,Self-Management,67,182
490,Lau (Gordon J) ES,Elementary,Asian,Social-Emotional Learning,Social Awareness,57,182
490,Lau (Gordon J) ES,Elementary,ELL,Culture/Climate,Climate of Support for Academic Learning,72,78
